iter	Passed	Remaining
0	156	156688
1	158	79048
2	159	53107
3	161	40132
4	163	32564
5	165	27378
6	170	24164
7	173	21474
8	175	19304
9	177	17577
10	179	16165
11	181	14952
12	183	13953
13	186	13130
14	192	12660
15	194	11948
16	197	11413
17	200	10921
18	202	10431
19	203	9972
20	205	9557
21	209	9311
22	211	9002
23	214	8714
24	215	8418
25	217	8137
26	220	7940
27	222	7732
28	225	7555
29	226	7338
30	228	7132
31	230	6964
32	234	6881
33	237	6735
34	238	6584
35	240	6432
36	242	6300
37	245	6213
38	248	6111
39	249	5987
40	250	5868
41	252	5760
42	254	5658
43	256	5581
44	260	5524
45	261	5433
46	263	5341
47	265	5260
48	268	5207
49	271	5166
50	274	5098
51	275	5027
52	278	4981
53	283	4971
54	285	4911
55	287	4839
56	288	4770
57	289	4706
58	293	4676
59	297	4656
60	298	4598
61	300	4546
62	301	4491
63	303	4440
64	309	4445
65	311	4403
66	312	4354
67	313	4297
68	315	4255
69	316	4208
70	318	4169
71	321	4140
72	323	4101
73	324	4062
74	326	4022
75	327	3982
76	328	3942
77	332	3932
78	335	3908
79	336	3872
80	338	3836
81	339	3799
82	340	3764
83	342	3731
84	343	3702
85	346	3680
86	348	3653
87	349	3626
88	351	3595
89	352	3564
90	354	3540
91	357	3524
92	359	3509
93	361	3485
94	363	3458
95	364	3432
96	366	3411
97	368	3388
98	371	3382
99	373	3359
100	374	3337
101	375	3309
102	379	3304
103	383	3302
104	385	3289
105	387	3268
106	388	3245
107	390	3223
108	391	3203
109	394	3190
110	395	3171
111	397	3154
112	399	3134
113	400	3116
114	402	3096
115	403	3076
116	405	3059
117	414	3095
118	415	3076
119	416	3056
120	418	3038
121	420	3025
122	421	3005
123	423	2990
124	425	2976
125	426	2958
126	427	2940
127	428	2921
128	430	2905
129	432	2894
130	435	2887
131	436	2873
132	438	2856
133	439	2840
134	441	2825
135	442	2812
136	444	2799
137	447	2792
138	449	2781
139	450	2767
140	451	2752
141	453	2737
142	455	2726
143	456	2713
144	459	2709
145	461	2700
146	463	2688
147	465	2678
148	467	2667
149	468	2654
150	470	2645
151	472	2638
152	474	2626
153	475	2613
154	477	2601
155	478	2589
156	479	2576
157	481	2563
158	483	2557
159	485	2549
160	487	2538
161	488	2527
162	489	2515
163	491	2503
164	492	2492
165	494	2483
166	497	2480
167	498	2470
168	500	2461
169	502	2452
170	503	2441
171	504	2430
172	507	2426
173	509	2419
174	511	2411
175	512	2401
176	514	2390
177	515	2380
178	517	2371
179	518	2363
180	520	2353
181	522	2348
182	524	2340
183	525	2331
184	527	2321
185	528	2313
186	530	2305
187	531	2297
188	535	2296
189	536	2288
190	538	2279
191	539	2269
192	540	2261
193	542	2253
194	543	2245
195	546	2241
196	548	2235
197	550	2228
198	551	2219
199	552	2210
200	554	2205
201	556	2198
202	558	2192
203	560	2186
204	562	2179
205	563	2171
206	564	2163
207	567	2159
208	572	2165
209	574	2162
210	576	2157
211	579	2153
212	581	2149
213	584	2147
214	589	2150
215	590	2143
216	591	2135
217	593	2127
218	594	2121
219	597	2117
220	598	2110
221	600	2103
222	602	2097
223	603	2090
224	604	2082
225	606	2075
226	608	2071
227	610	2067
228	612	2061
229	613	2055
230	615	2047
231	616	2040
232	618	2034
233	619	2027
234	621	2024
235	623	2019
236	625	2013
237	626	2007
238	628	2000
239	629	1993
240	630	1986
241	632	1980
242	634	1976
243	636	1972
244	638	1966
245	639	1959
246	641	1954
247	642	1948
248	644	1942
249	646	1939
250	648	1935
251	650	1930
252	651	1924
253	653	1918
254	654	1912
255	655	1906
256	658	1902
257	660	1900
258	662	1894
259	663	1888
260	664	1882
261	666	1876
262	667	1871
263	668	1864
264	670	1860
265	673	1857
266	675	1853
267	676	1847
268	677	1841
269	679	1835
270	680	1830
271	681	1824
272	683	1821
273	687	1820
274	688	1815
275	690	1810
276	691	1804
277	692	1799
278	694	1794
279	698	1795
280	699	1790
281	701	1785
282	702	1780
283	704	1775
284	705	1769
285	706	1764
286	710	1764
287	712	1760
288	713	1756
289	715	1751
290	716	1745
291	717	1740
292	719	1735
293	721	1732
294	724	1731
295	726	1727
296	727	1722
297	729	1717
298	730	1712
299	731	1707
300	733	1703
301	735	1699
302	737	1696
303	739	1692
304	740	1687
305	741	1682
306	743	1678
307	744	1673
308	746	1668
309	747	1664
310	750	1662
311	752	1658
312	753	1653
313	754	1649
314	756	1645
315	758	1641
316	760	1638
317	762	1635
318	764	1631
319	765	1627
320	767	1623
321	769	1619
322	771	1617
323	774	1615
324	775	1611
325	777	1606
326	778	1602
327	780	1599
328	782	1595
329	784	1592
330	788	1593
331	789	1589
332	791	1585
333	793	1581
334	794	1577
335	796	1574
336	798	1571
337	801	1569
338	802	1565
339	804	1560
340	805	1556
341	806	1552
342	808	1548
343	811	1547
344	813	1544
345	815	1540
346	816	1536
347	817	1532
348	819	1528
349	820	1523
350	822	1520
351	825	1519
352	827	1516
353	828	1512
354	830	1508
355	831	1504
356	832	1500
357	834	1496
358	837	1495
359	839	1492
360	840	1488
361	842	1484
362	843	1480
363	845	1476
364	846	1472
365	848	1469
366	852	1469
367	853	1466
368	855	1462
369	856	1458
370	857	1454
371	859	1450
372	860	1447
373	864	1446
374	865	1443
375	867	1439
376	868	1435
377	870	1431
378	871	1427
379	872	1423
380	877	1425
381	878	1421
382	880	1417
383	881	1413
384	883	1411
385	884	1407
386	886	1403
387	890	1405
388	892	1402
389	894	1398
390	895	1394
391	896	1391
392	898	1387
393	899	1384
394	903	1383
395	905	1380
396	906	1377
397	907	1373
398	909	1369
399	910	1365
400	911	1361
401	913	1359
402	916	1357
403	918	1354
404	919	1351
405	921	1347
406	922	1344
407	923	1340
408	927	1340
409	929	1337
410	931	1334
411	932	1331
412	934	1327
413	935	1323
414	936	1320
415	939	1318
416	941	1316
417	943	1313
418	944	1310
419	946	1306
420	947	1302
421	948	1299
422	950	1296
423	953	1295
424	955	1292
425	956	1289
426	958	1285
427	959	1282
428	961	1280
429	963	1276
430	965	1274
431	967	1272
432	968	1268
433	970	1265
434	971	1261
435	973	1259
436	975	1256
437	976	1252
438	979	1252
439	981	1249
440	982	1245
441	983	1242
442	986	1239
443	992	1242
444	996	1243
445	999	1242
446	1001	1239
447	1004	1237
448	1006	1235
449	1013	1238
450	1016	1236
451	1017	1234
452	1020	1232
453	1023	1230
454	1026	1229
455	1030	1229
456	1034	1228
457	1036	1226
458	1040	1226
459	1043	1224
460	1045	1222
461	1049	1222
462	1050	1218
463	1052	1215
464	1054	1213
465	1056	1210
466	1058	1208
467	1059	1204
468	1064	1205
469	1069	1205
470	1075	1207
471	1077	1205
472	1078	1202
473	1080	1198
474	1082	1196
475	1084	1194
476	1086	1191
477	1087	1187
478	1088	1184
479	1090	1181
480	1091	1178
481	1093	1174
482	1094	1171
483	1098	1171
484	1100	1168
485	1101	1165
486	1103	1162
487	1104	1158
488	1105	1155
489	1108	1153
490	1110	1150
491	1111	1147
492	1112	1144
493	1113	1140
494	1115	1137
495	1116	1134
496	1117	1131
497	1119	1128
498	1122	1126
499	1125	1125
500	1126	1121
501	1127	1118
502	1128	1115
503	1130	1112
504	1131	1109
505	1133	1106
506	1135	1103
507	1136	1100
508	1137	1097
509	1138	1094
510	1140	1091
511	1141	1087
512	1142	1084
513	1144	1081
514	1145	1078
515	1147	1076
516	1148	1073
517	1150	1070
518	1151	1067
519	1152	1064
520	1153	1060
521	1155	1057
522	1156	1054
523	1160	1053
524	1162	1051
525	1164	1049
526	1165	1046
527	1166	1043
528	1168	1040
529	1170	1037
530	1172	1035
531	1173	1032
532	1175	1029
533	1176	1026
534	1177	1023
535	1178	1020
536	1179	1017
537	1181	1014
538	1182	1011
539	1185	1010
540	1187	1007
541	1188	1004
542	1189	1001
543	1190	998
544	1192	995
545	1193	992
546	1194	989
547	1195	986
548	1197	983
549	1199	981
550	1201	978
551	1202	975
552	1203	972
553	1204	969
554	1205	966
555	1207	964
556	1208	961
557	1210	958
558	1211	956
559	1213	953
560	1214	950
561	1215	947
562	1216	944
563	1217	941
564	1219	938
565	1220	935
566	1221	932
567	1222	930
568	1224	927
569	1226	924
570	1227	922
571	1228	919
572	1230	916
573	1231	913
574	1232	910
575	1233	908
576	1235	905
577	1237	903
578	1239	900
579	1240	898
580	1241	895
581	1242	892
582	1244	889
583	1245	887
584	1246	884
585	1247	881
586	1250	879
587	1252	877
588	1253	874
589	1254	871
590	1255	869
591	1257	866
592	1258	863
593	1259	860
594	1260	858
595	1263	856
596	1264	853
597	1265	850
598	1267	848
599	1268	845
600	1269	843
601	1270	840
602	1272	837
603	1273	835
604	1275	832
605	1277	830
606	1278	827
607	1279	825
608	1280	822
609	1281	819
610	1283	816
611	1284	814
612	1285	811
613	1286	808
614	1289	807
615	1290	804
616	1292	802
617	1293	799
618	1294	797
619	1296	794
620	1297	791
621	1298	789
622	1300	787
623	1303	785
624	1304	782
625	1306	780
626	1307	777
627	1308	775
628	1309	772
629	1310	769
630	1312	767
631	1313	765
632	1316	763
633	1318	761
634	1319	758
635	1320	755
636	1321	753
637	1322	750
638	1324	747
639	1325	745
640	1326	743
641	1329	741
642	1330	738
643	1331	736
644	1332	733
645	1333	730
646	1335	728
647	1336	725
648	1337	723
649	1338	720
650	1341	719
651	1342	716
652	1343	714
653	1345	711
654	1346	709
655	1347	706
656	1348	704
657	1349	701
658	1350	699
659	1353	697
660	1354	694
661	1356	692
662	1357	689
663	1358	687
664	1359	685
665	1361	682
666	1362	680
667	1363	677
668	1365	675
669	1366	673
670	1368	670
671	1369	668
672	1370	665
673	1371	663
674	1372	661
675	1374	658
676	1375	656
677	1377	654
678	1378	651
679	1380	649
680	1381	647
681	1382	644
682	1383	642
683	1384	639
684	1386	637
685	1387	635
686	1388	632
687	1391	631
688	1393	628
689	1394	626
690	1395	623
691	1396	621
692	1397	619
693	1399	617
694	1401	614
695	1403	612
696	1404	610
697	1405	608
698	1407	605
699	1408	603
700	1409	601
701	1410	598
702	1412	596
703	1413	594
704	1415	592
705	1416	590
706	1418	587
707	1419	585
708	1420	583
709	1421	580
710	1423	578
711	1424	576
712	1425	573
713	1427	571
714	1428	569
715	1430	567
716	1431	564
717	1432	562
718	1433	560
719	1435	558
720	1437	556
721	1438	553
722	1440	551
723	1442	549
724	1443	547
725	1444	545
726	1445	542
727	1447	540
728	1448	538
729	1449	536
730	1450	533
731	1451	531
732	1453	529
733	1454	527
734	1456	525
735	1457	522
736	1458	520
737	1459	518
738	1461	516
739	1462	513
740	1463	511
741	1464	509
742	1465	507
743	1467	504
744	1468	502
745	1469	500
746	1470	498
747	1472	496
748	1473	493
749	1474	491
750	1475	489
751	1476	487
752	1478	484
753	1480	482
754	1481	480
755	1482	478
756	1483	476
757	1485	474
758	1486	472
759	1487	469
760	1488	467
761	1489	465
762	1491	463
763	1493	461
764	1495	459
765	1496	457
766	1497	455
767	1499	452
768	1500	450
769	1501	448
770	1502	446
771	1504	444
772	1507	442
773	1508	440
774	1509	438
775	1510	436
776	1512	434
777	1513	431
778	1514	429
779	1515	427
780	1516	425
781	1519	423
782	1521	421
783	1522	419
784	1524	417
785	1525	415
786	1526	413
787	1527	410
788	1528	408
789	1529	406
790	1532	404
791	1534	402
792	1535	400
793	1536	398
794	1537	396
795	1538	394
796	1540	392
797	1541	390
798	1542	388
799	1544	386
800	1547	384
801	1548	382
802	1550	380
803	1551	378
804	1552	376
805	1553	373
806	1554	371
807	1555	369
808	1559	368
809	1560	366
810	1561	363
811	1562	361
812	1564	359
813	1565	357
814	1566	355
815	1567	353
816	1568	351
817	1570	349
818	1572	347
819	1573	345
820	1574	343
821	1576	341
822	1577	339
823	1578	337
824	1579	335
825	1580	333
826	1582	330
827	1583	329
828	1585	327
829	1586	325
830	1588	322
831	1589	320
832	1590	318
833	1591	316
834	1592	314
835	1593	312
836	1594	310
837	1596	308
838	1598	306
839	1599	304
840	1600	302
841	1601	300
842	1602	298
843	1603	296
844	1605	294
845	1606	292
846	1608	290
847	1611	288
848	1612	286
849	1613	284
850	1614	282
851	1615	280
852	1617	278
853	1618	276
854	1619	274
855	1620	272
856	1622	270
857	1624	268
858	1625	266
859	1626	264
860	1627	262
861	1629	260
862	1630	258
863	1631	256
864	1632	254
865	1633	252
866	1635	250
867	1636	248
868	1638	246
869	1639	244
870	1640	242
871	1641	241
872	1643	239
873	1644	237
874	1645	235
875	1646	233
876	1648	231
