iter	Passed	Remaining
0	160	160438
1	162	81153
2	163	54473
3	165	41130
4	166	33127
5	168	27876
6	170	24125
7	171	21263
8	172	19022
9	174	17227
10	175	15758
11	176	14537
12	177	13502
13	179	12612
14	180	11840
15	183	11263
16	184	10681
17	186	10147
18	187	9667
19	188	9232
20	189	8841
21	190	8483
22	192	8157
23	193	7856
24	194	7579
25	195	7322
26	197	7112
27	199	6910
28	200	6707
29	201	6518
30	202	6340
31	204	6174
32	205	6021
33	206	5873
34	207	5734
35	209	5603
36	211	5502
37	213	5397
38	214	5292
39	216	5198
40	218	5099
41	219	5003
42	220	4911
43	221	4820
44	223	4736
45	224	4656
46	226	4592
47	228	4527
48	229	4460
49	231	4394
50	232	4325
51	233	4260
52	235	4199
53	236	4137
54	237	4082
55	238	4025
56	240	3985
57	242	3938
58	244	3891
59	245	3844
60	246	3799
61	248	3752
62	249	3706
63	250	3664
64	251	3621
65	252	3579
66	254	3539
67	256	3509
68	257	3473
69	258	3436
70	259	3399
71	260	3363
72	262	3328
73	263	3295
74	264	3264
75	265	3232
76	267	3201
77	268	3170
78	269	3141
79	271	3119
80	272	3094
81	274	3067
82	275	3040
83	276	3014
84	277	2989
85	278	2964
86	280	2939
87	281	2915
88	282	2888
89	283	2865
90	284	2843
91	286	2826
92	287	2805
93	288	2784
94	290	2763
95	291	2742
96	292	2722
97	293	2701
98	295	2685
99	296	2667
100	297	2649
101	298	2630
102	300	2614
103	301	2601
104	303	2584
105	304	2566
106	305	2549
107	307	2535
108	308	2520
109	309	2504
110	310	2488
111	311	2472
112	313	2456
113	314	2441
114	315	2427
115	317	2416
116	318	2402
117	319	2388
118	320	2374
119	322	2361
120	323	2348
121	324	2335
122	325	2321
123	326	2308
124	327	2295
125	329	2282
126	330	2270
127	331	2260
128	333	2250
129	334	2240
130	336	2233
131	338	2223
132	339	2211
133	340	2200
134	341	2188
135	342	2177
136	343	2166
137	345	2156
138	346	2148
139	348	2138
140	349	2128
141	350	2118
142	351	2106
143	352	2096
144	353	2086
145	355	2076
146	356	2066
147	357	2057
148	358	2047
149	359	2037
150	360	2025
151	361	2018
152	363	2011
153	364	2004
154	366	1997
155	367	1988
156	368	1979
157	369	1971
158	370	1962
159	372	1953
160	373	1944
161	374	1936
162	375	1929
163	377	1924
164	379	1919
165	381	1917
166	382	1910
167	384	1902
168	385	1894
169	386	1886
170	387	1879
171	388	1872
172	390	1865
173	392	1863
174	393	1856
175	395	1850
176	396	1843
177	397	1836
178	399	1830
179	400	1824
180	401	1818
181	403	1812
182	404	1805
183	407	1808
184	409	1804
185	411	1798
186	412	1793
187	413	1786
188	414	1780
189	415	1773
190	417	1766
191	418	1760
192	419	1755
193	421	1751
194	422	1746
195	424	1741
196	425	1735
197	427	1730
198	428	1724
199	429	1718
200	430	1712
201	431	1706
202	433	1701
203	434	1696
204	436	1693
205	438	1691
206	440	1685
207	441	1680
208	442	1674
209	443	1668
210	444	1662
211	445	1656
212	447	1652
213	448	1646
214	449	1640
215	450	1635
216	452	1632
217	453	1627
218	454	1622
219	456	1616
220	457	1611
221	458	1605
222	459	1600
223	460	1594
224	461	1590
225	462	1585
226	464	1580
227	465	1575
228	467	1573
229	468	1569
230	469	1564
231	470	1559
232	472	1553
233	473	1549
234	474	1544
235	475	1539
236	476	1535
237	478	1530
238	479	1526
239	480	1521
240	482	1518
241	483	1514
242	484	1510
243	485	1505
244	487	1501
245	488	1496
246	489	1492
247	490	1488
248	492	1484
249	493	1480
250	494	1475
251	495	1471
252	497	1468
253	498	1464
254	499	1460
255	501	1456
256	503	1455
257	505	1452
258	506	1448
259	507	1444
260	508	1440
261	509	1436
262	511	1432
263	512	1430
264	514	1426
265	515	1423
266	517	1419
267	518	1417
268	520	1414
269	521	1410
270	522	1406
271	523	1402
272	525	1398
273	526	1395
274	528	1392
275	529	1389
276	531	1386
277	532	1382
278	533	1379
279	535	1375
280	536	1372
281	537	1368
282	538	1364
283	539	1360
284	541	1357
285	542	1355
286	544	1351
287	545	1348
288	546	1344
289	547	1341
290	549	1337
291	550	1333
292	551	1330
293	552	1326
294	553	1322
295	554	1319
296	555	1315
297	557	1313
298	558	1310
299	560	1306
300	561	1303
301	562	1299
302	563	1295
303	564	1292
304	565	1288
305	566	1284
306	567	1281
307	568	1277
308	569	1273
309	570	1269
310	571	1266
311	573	1263
312	574	1260
313	575	1256
314	576	1253
315	577	1249
316	578	1246
317	579	1242
318	580	1239
319	581	1235
320	582	1232
321	583	1228
322	584	1225
323	585	1221
324	586	1218
325	588	1216
326	589	1212
327	590	1209
328	591	1205
329	592	1202
330	593	1199
331	594	1195
332	595	1192
333	596	1189
334	597	1185
335	598	1182
336	599	1179
337	600	1175
338	601	1172
339	603	1171
340	604	1168
341	605	1165
342	606	1162
343	607	1158
344	608	1155
345	609	1152
346	610	1149
347	611	1146
348	612	1143
349	613	1140
350	614	1136
351	615	1133
352	617	1130
353	618	1128
354	619	1125
355	620	1122
356	621	1120
357	623	1117
358	624	1114
359	625	1111
360	626	1108
361	627	1105
362	628	1102
363	629	1099
364	630	1096
365	631	1093
366	632	1090
367	633	1088
368	634	1085
369	635	1082
370	636	1079
